Afrikaans,Category,English_Definition,English_Term,IsiNdebele,IsiXhosa,IsiZulu,Sepedi,Sesotho,Setswana,Siswati,Tshivenda,Xitsonga
Masjinerie en toerusting,"                National, Provincial and Local Government                  ","Machinery and equipment include motor vehicles, ships, aircraft, equipment and furniture. Military expenditure on machinery and equipment which could be used for civilian purposes is included.",Machinery and equipment,Imitjhini nepahla,Oomatshini nezixhobo zokusebenza,Imishini nezinto/nempahla zokusebenza,Metšhene le dikgerekgere,Metjheni le disebediswa,Metšhini le didiriswa,Imishini netisetjentiswa,Mitshini na zwishumiswa,Michini na switirhisiwa
Bestuursposte,"                National, Provincial and Local Government                  ","For the purpose of this survey, managerial positions refer to section 57 managers, according to the Local Government: Municipal Systems Act, 2000 (Act No. 32 of 20 November 2000) and other managers according to the organogram.",Managerial positions,Isikhundla sokuphatha,Izikhundla zolawulo,Izikhundla zobumenenja/zokuphatha,Maemo a bolaodi,Maemo a botsamaisi,Maemo a botsamaisi,Tikhundla tekuphatsa,Vhuimovhulanguli,Swiyimo swa vufambisi
Bemarkbare leningseffekte,"                National, Provincial and Local Government                  ","Stocks, debentures and similar debt instruments that are freely marketable, i.e. securities for which transfer registers are kept and which are usually listed on the stock exchange. Discounts originating with the issue of stocks below par are included in the stock liability.",Marketable loan stock,Okubolekiswako okuthengisekako,Imali-mboleko yempahla ethengisekayo,Isitokwe/impahla engadayiseka ethengwe ngemalimboleko,Dithoto tša kadimo tša go bapatšega/rekišega,Diabo tsa kadimo tse rekisehang,Thotokadimo e e bapatsegang,Sitoko semalimboleko letsengisekako,Khadzimiso ya mikovhevhambadzea,Xikweleti lexi lombekaka
Memorandumitems,"                National, Provincial and Local Government                  ",Expenditure on maintenance included in remuneration of employees and/or other goods and services and can be found in Table 2 in the columns for memorandum items.,Memorandum items,Imininingwana engezelelako,Izinto ezingabandakanywa kwingxelo yenkcitho-mali,Amaphuzu ememorandamu,Dihlogwana tša memorantamo,Dintlha tsa memorandamo,Dintlha tsa memorantamo,Luhlu lwetindleko lolwengetiwe,Zwiteṅwa zwa memorandamu/ḽiṅwalo,Timhaka eka memorandamu
Metropolitaanse munisipaliteit,"                National, Provincial and Local Government                  ","Municipality that has a municipal executive and legislative authority in an area that includes more than one Municipality, as described in section 155(1) of the Constitution as a category A municipality.",Metropolitan municipality,UMasipalada wedorobha elikhulu,UMasipala ombaxa,uMasipala omkhulu,Masepala wa metheropholithene,Mmasepala e moholo,Mmasepalasetoropomogolo,Masipala welidolobhakati,Masipala wa ḓorobo khulwane,Masipalankulu
Geldmarkinstrumente,"                National, Provincial and Local Government                  ","Instruments such as bankers’ acceptance, trade bills, promissory notes, capital project bills, bridging debentures, negotiable certificates of deposits, Land Bank bills, Land Bank and the South African Reserve Bank’s debentures.",Money market instruments,Iintlankana zemakethe yemali,Izixhobo zemali yemarike,Izindlela zokuhweba ngezezimali,Didirišwa tša mmaraka wa tšhelete,Disebediswa tsa mmaraka wa ditjhelete,Didiriswa tsa mmaraka wa madi,Tindlela letehlukene tekusisa imali,Zwishumiswa zwa mbambadzo ya masheleni/tshelede,Switirhisiwa swa makete ya mali
Munisipaliteit (Finansiële Statistiek),"                National, Provincial and Local Government                  ","The area of jurisdiction of the third sphere of government, after national and provincial.",Municipality (Financial Statistics),UMasipalada,UMasipala (iiNkcukacha-manani zeMali),uMasipala,Masepala,Mmasepala (Dipalopalo tsa ditjhelete),Mmasepala (Dipalopalo tsa ditšhelete),Masipala (Lubalo lwetetimali),Masipala(Mbalombalo / Zwitatistika zwa Masheleni/Tshelede),Masipala (tinhlayohlayo ta ximali)
Niefinansiële openbare onderneming,"                National, Provincial and Local Government                 ",A government-owned and/or -controlled unit which sells industrial or commercial goods and services to the public on a large scale.,Non-financial public enterprise,Irhwebo lombuso elingasilo leemali,Ushishino lukawonke-wonke olungelolwamali,Umsebenzi kahulumeni ongenanzuzo,Kgwebo ya mmušo ya go aba ditirelo fela setšhabeng,Kgwebo ya setjhaba eo eseng ya ditjhelete,Kgwebotirelosetšhaba,Umsebenti wesive longatsintsi tetimali,Tshiimiswa tsha muvhuso tshayambuelo tsha u ṋetshedza tshumelo,Mabindzunyingi ya mfumo ya vukorhokeri bya vanhu
Ander besteding,"                National, Provincial and Local Government                 ",Other expenditure includes payments by district municipalities to national and provincial government and other local government institutions for development aid.,Other expenditure,Ezinye iindleko,Ezinye iinkcitho,Ezinye izindleko,Ditshenyagelo/ditshenyagalelo tše dingwe,Ditshenyehelo tse ding,Ditshenyegelo tse dingwe,Letinye tindleko,Iṅwe tshinyalelo,Ntirhiso wun’wana
Ander masjinerie en toerusting,"                National, Provincial and Local Government                 ","Machinery and equipment not included as vehicles, computer equipment, computer software and office furniture.",Other machinery and equipment,Eminye imitjhini nenye ipahla,Abanye oomatshini nezinye izixhobo ezisetyenziswa eburhulumenteni,Eminye imishini nezinto zokusebenza,Metšhene le dikgerekgere tše dingwe,Metjhini le disebediswa tse ding,Metšhini le ditlamelo tse dingwe,Leminye imishini netisetjentiswa,Miṅwe mitshini na zwishumiswa,Michini na switirhisiwa swin’wana
Persentasieverandering,"                National, Provincial and Local Government                 ",The change in an index (or other series) from one period to another expressed as a percentage of its value in the first of the two periods.,Percentage change,Itjhuguluko lamaphesente,Ukutshintsha kwepesenti,Ukuguquka ngokwamaphesenti,Phetogo ya peresente,Phetoho ya phesente,Phetogo ya phesente,Kuntjintja kwemaphesenti,Tshanduko kha ḓana / tshanduko ya phesenthe,Ncinco wa tiphesente
Voorsiening,"                National, Provincial and Local Government                  ","Any amount set aside for the purpose of meeting either specific requirements where the amounts thereof can be closely estimated, and specific commitments; or known contingencies and diminutions in values of assets existing as at the date of the balance sheet, where the amounts involved cannot be determined with significant accuracy. Including bad debts, repairs and maintenance, and lossof rent.",Provision,Isibekelelo; isiqalelelo,Imali yamalungiselelo ebekwe bucala,Ukuhlinzeka,Tšheletepeelwathoko,Tokisetso,Tshiamelo,"Lindzingoti, liphakelongcamu",Mbetshelwa,Mali leyi vekiweke etlhelo
Openbare finansiële instellings,"                National, Provincial and Local Government                  ",Units primarily engaged in both incurring liabilities and acquiring financial assets in the market. Note: Financial institutions may be entirely or mainly owned and/or controlled by the government in which case they are regarded as public financial institutions. It is the prime function of public financial institutions to act as intermediaries.,Public financial institutions,Iinjamiso zeemali zombuso,Amaziko emali oluntu/ kawonke-wonke,Izikhungo zomphakathi zezezimali,Diinstitušene tša ditšhelete tša setšhaba,Diinstitjushene tsa ditjhelete tsa setjhaba,Ditheotlotlo tsa bosetšhaba,Tikhungo tetimali tesive,Zwiimiswa zwa masheleni/tshelede zwa nnyi na nnyi muvhuso,Tindhawu ta timali ta tiko
Kwartaallikse persentasieverandering tussen ’n spesifieke kwartaal van die vorige jaar en die ooreenstemmende kwartaal van die huidige jaar,"                National, Provincial and Local Government                  ",Quarterly percentage change between the previous year and the current year for the same quarter refers to the comparison of the three months of the current quarter in the current year with that of the similar period of the previous year. The amounts shown for each quarter are not cumulative.,Quarterly percentage change between a specific quarter of the previous year and the same quarter of the current year,"Itjhuguluko lamaphesente ngekota hlangana kwekota ethileko yanyakenye nekota efanako yanonyaka
","Ipesenti yekota etshintsha phakathi kwekota ethile yonyaka odlulileyo naleyo yonyaka omiyo
","Ukuguquka ngokwamaphesenti ngokwamakwata ngokuqhathanisa ikwata elithile lonyaka odlule nekwata elifanayo lanonyaka
","Phetogo ya phesente magareng ga kotara ye e itšego ya ngwagola le kotara ya go swana nayo ya lenyagas/ngwaga wo
","Phesente ya phetoho ya kotara e ikgethileng ya selemo se fetileng papisong le ya selemo sena
","Phetogo ya phesente ka kotaramagareng ga kotara e e kgethegileng ya ngogola le kotara e e tshwanang ya monongwaga
","Kuntjintja kwemaphesenti ngekotatsite yemnyaka lowengcile kanye naleyo kota yalomnyaka
","Tshanduko kha ḓana nga kotara vhukati ha kotaratiwa ya mahoḽa na ya ṅwaha uno wa muvhalelano
","Ncinco wa tiphesente hi kotara exikarhi ka kotara yo karhi ya lembe leri hundzeke na kotara yoleyo ya lembe leri
"
Kwartaallikse persentasieverandering tussen die ooreenstemmende kwartaal van die vorige jaar en die huidige jaar,"                National, Provincial and Local Government                  ",The comparison of the three months of the current quarter in the current year with that of the similar period of the previous year. The amounts shown for each quarter are not cumulative.,Quarterly percentage change between the previous year and the current year for the same quarter,Itjhuguluko lamaphesente ngekota hlangana kwanyakenye nanon yaka ngekota efanako,"Ipesenti yekota etshintsha phakathi komnyaka odluleyo nalowo umi leyo ngokwekota leyo
","Ukuguquka kwephesenti ngokwamakwata ngokuqhathanisa unyaka odlule nekwata elifanayo lanonyaka
","Phetogo ya phesente magareng ga kotara ye e itšego ya ngwagola le kotara ya go swana nayo ya lenyaga/ngwaga wo
","Phesente ya phetoho ya kotara ya selemo se fetileng papisong le ya selemo sena
","Phetogo ya phesente ka kotara magareng ga ngogola le kotara e e tshwanang ya monongwaga
","Kuntjintja kwemaphesenti ngekota yemnyaka lophelile kanye nekota yalomnyaka
",Tshanduko kha ḓana vhukati ha mahoḽa na ṋaṅwaha kha kotara nthihi,"Ncinco wa tiphesente hi kotara exikarhi ka lembe leri hundzeke na lembe leri eka kotara yo fana
"
Kwartaallikse persentasieverandering (besoldiging),"                National, Provincial and Local Government                  ",The change in the remuneration of employees (or turnover of institutions) of the given quarter compared with the remuneration of employees (or turnover of institutions) of the previous quarter expressed as a percentage.,Quarterly percentage change (remuneration),Itjhuguluko lamaphesente ngekota,Ipesenti etshintsha ngekota (intlawulo),Ukuguquka kwephesenti ngokwamakwata (umholo),Phetogo ya peresente ya kotara,Phesente ya phetoho ka kotara (moputso),Phetogo ya phesente ka kotara (dituelo),Kuntjintja kwemaphesenti ngekota (umholo),Tshanduko kha ḓana nga kotara (muholo),Ncinco wa tiphesente hi kotara (muholo)
Eiendomsbelasting en algemene dienste,"                National, Provincial and Local Government                  ","Municipal services that are not economically self-supporting and are financed by imposing assessment and other rates, the receipt of subsidies and other contributions. This includes ambulance services, fire control (or fire-fighting), health services (clinics, old-age homes), roads and storm water drainage, parks and recreation (libraries, cultural activities, museums, sport administration, community halls, swimming pools, sports grounds, nature reserves, etc.), sewerage and cleansing, traffic (licensing offices) and other services (city engineers, administration, personnel, legal services, city treasurer, etc.). See trading services.",Rates and general services,Imithelo neminye imisebenzi,Iireyithi neenkonzo ngokubanzi,Intela nezinsizakalo ezijwayelekile,Ditekanyokelo le ditirelokakaretšo,Ditefello le ditshebeletso ka kakaretso,Dielo le ditirelokakaretso,Umtselotinsita netinsita jikelele,Phimo na tshumelonyangaredzwa,Tihakelo ta ndhawu na vukorkokeri byo angarhela
Verwysingskwartaal (opname),"                National, Provincial and Local Government               ",Reference quarter for the survey refers to the three months up to the end of each quarter.,Reference quarter (survey),Ikota eqaliweko,Ikota yokungqinisisa (ukuhlola),Ikwata okuthathiselwa kulo,Kotara ya tšhupetšo,Kotara e boletsweng (dipatlisiso),Kotara e e kailweng,Ikota lekukhonjwe kuyo (kusaveya),Kotarandaula(tsedzuluso savei),Kotara leyi kongomisiweke (mbalango)
Herstelwerk en instandhouding,"                National, Provincial and Local Government               ",All construction work not included under new construction. Such repairs may be broken down into capital repairs and current repairs and maintenance.,Repairs and maintenance,Ukulungisa nokukhibelela,Ukungciba/ukulungisa nolondolozo,Ukulungiswa nokunakekelwa,Tokišo le tlhokomelo/pabalelo,Ditokiso le tlhokomelo,Dipaakanyo le tlamelo,Kulungisa nekugcina esimweni,Ndugiso na ndondolo,Ndzunghiso na nhlayiso
Herstelwerk en instandhouding,"                National, Provincial and Local Government               ","Include all expenditure on repairs and maintenance of the various assets of the department or service. Where considered necessary, the cost of repairs in respect of the various types of assets, e.g. buildings, plant, may be subdivided. Where repairs and maintenance have been charged to a ‘provision for repairs account’, the actual expenditure incurred during the current year has been reflected under this subdivision and the amount chargeable to the ‘provision for repairs’ is reflected as a deduction from the actual cost. Any balance of expenditure still remaining is treated as a charge against the current year.",Repairs and maintenance,Ukulungisa nokukhibelela,Ukungciba/ukulungisa nolondolozo,Ukulungiswa nokunakekelwa,Tokišo le tlhokomelo/pabalelo,Ditokiso le tlhokomelo,Dipaakanyo le tlamelo,Kulungisa nekugcina esimweni,Ndugiso na ndondolo,Ndzunghiso na nhlayiso
Reserwe,"                National, Provincial and Local Government                 ","Amounts set aside out of surpluses, which are not designed to meet any liability, contingency, commitment or diminution in the value of assets known to exist as at the date of the balance sheet. An example of a reserve would be the tariff stabilisation reserve.",Reserve,Imali ebekelwe ngeqadi,Uvimba,Imali egciniwe,Tsheketšo,Poloko,Matlotlopeelothoko,Lidlelantfongeni,Masheleni-/tsheledembetshelwathungo,Rhizevhe/swihlayisiwa
Residensiële geboue,"                National, Provincial and Local Government                 ",Buildings that are used primarily as residences. Inclusions: Dwelling houses; flats; holiday chalets; hostels; houses; institutions for the disabled; motels; nursing homes; old-age homes; and townhouses.,Residential buildings,Imakho yokuhlala,Izakhiwo zokuhlala,Izakhiwo zokuhlala,Meago ya bodulo,Meaho ya bodulo,Dikagobonno,Tindlu tekuhlala,Zwifhaṱo zwa vhudzulo,Miako ya vutshamo
"Salarisse, lone en toelaes","                National, Provincial and Local Government                 ","Salaries and wages include payments to full-time and part-time employees irrespective of whether the remuneration is paid from revenue, capital or any other account or fund. Salaries, wages and allowances include: Salaries and wages; Allowances; Contributions to other benefit funds of employees such as medical aid, group life, etc. (excluding unemployment insurance and workmen’s compensation); Other benefits, e.g. housing loan subsidy; Pension fund contributions; Quarters, rations and other expenditure (accommodation, food, medical expenditure, etc., whether provided in cash or in kind); and Uniform clothing and allowances (clothing, boots, overalls, etc., supplied to uniformed employees).","Salaries, wages and allowances",Imirholo neembonelelo,"Imivuzo, iintlawulo nezibonelelo",Imiholo nemihlomulo,Meputso/megolo le diputseletšo,"Meputso, mekgolo le ditlhapiso","Dituelo/megolo, ditefo le ditetlo",Imiholo nembasha,Miholo na magavhelo,Miholo na swiengetelo
Verkope (vervaardiging),"                National, Provincial and Local Government                 ","Sales are the total value of sales and transfers-out of all own manufactured products/ articles and the amounts received for installation, erection or assembly or other services rendered.",Sales (manufacturing),Ithengiso (ekukhiqizeni),Iintengiso (ukuvelisa),-dayisiwe/ -thengisiwe (ukukhiqiza),Dithekišo,Dithekiso (tlhahiso),Dithekiso,Lokutsengisiwe (kukhicita),Thengiso(vhumagi),Mixaviso (vumaki)
Verkope (mynbou),"                National, Provincial and Local Government                 ","Sales are the total value of sales and transfers-out of goods mined by the mining establishments and the amounts received for installation, erection or assembly or other services rendered.",Sales (mining),Iintengiso (eemayini),Iintengiso (izimbiwa),-dayisiwe/ -thengisiwe (izimbiwa),Dithekišo,Dithekiso (merafo),Dithekiso,Lokutsengisiwe (timbiwa),Thengiso (migodi),Mixaviso (migodi)
Korttermynlening,"                National, Provincial and Local Government                 ",Include loans from: Local authorities loans fund; Local government institutions; Development Bank of Southern Africa; Public corporations; Banks; Insurers; Pension funds; Other domestic sources; and Foreign sources.,Short-term loans,Imalibolekiswano yesikhathi esifitjhani,Imali-mboleko yexeshana,Imalimboleko yesikhathi esifushane,Dikadimo tša pakakopana,Dikadimo tsa nakwana,Dikadimo tsa pakakhutshwane,Timalimboleko tesikhashana,Khadzimiso dza tshifhinga tshipfufhi,Swikweleti swa nkarhi wo koma
Staande bewilligings,"                National, Provincial and Local Government                 ","Government’s expenditure obligations that do not require a vote or statutory provisions, including contractual guarantee commitments and international agreements.",Standing appropriations,Izabelo ezijamileko,Uhlahlo-lwabiwo-mali olusigxina lukarhulumente,Isabelomali sikahulumeni esimisiwe,Ditekanyetšo tša go ikema,Dikabo tse tsepameng,Dikabo tse di tlhomameng,Emaphakelo lemile,Tshinyalelotshayathendelo,Mikavelo leyi tiyimelaka
Statutêre bewilligings,"                National, Provincial and Local Government                   ",Amounts appropriated to be spent in terms of statutes and not requiring appropriation by vote.,Statutory appropriations,Izabelo zomthetho,Uhlahlo-lwabiwo-mali olusigxina lukarhulumente ngokusemthethweni,Isabelomali esimisiwe ngokomthetho kahulumeni,Ditekanyetšo tša semolao,Dikabo tsa molao,Dikabosemolao,Emaphakelo ngekwetimiso,Tshinyalelondaedzwa nga mulayo,Mikavelo ku ya hi nawu
Subsidies,"                National, Provincial and Local Government                   ","Current unrequited payments that government units pay to enterprises to assist or encourage them, on the basis of the quantities or values of the goods and services that they produce, sell or import.",Subsidies,Iimphekiso,Iinkxaso-mali,Imixhaso,Dithušo tša ditšhelete/ disapositi,Dithuso,Diketleetso,Tibonelelo,Mitikedzo/thikhedzo/sabusidi,Mipfuno
Subsidies op produksie,"                National, Provincial and Local Government                   ",Payments made to resident enterprises as a consequence of engaging in production.,Subsidies on production,Iimphekiso zokukhiqiza,Iinkxaso-mali kwimveliso,Imixhaso ekukhiqizweni,Dithušo tša ditšhelete go tšweletšo/ disapositi go tšweletšo,Dithuso tlhahisong,Diketleetso mo tlhagisong,Tibonelelo ekukhiciteni,Thikhedzo/mitikedzo kha vhubveledzi/sabusidi,Mipfuno eka andziso
Subsidies op produkte,"                National, Provincial and Local Government                   ",Payments made per unit of good or service.,Subsidies on products,Iimphekiso zemikhiqizo/zepahla,Inkxaso-mali kwiziqhamo zemveliso,Imixhaso emikhiqizweni,Dithušo tša ditšhelete go ditšweletšwa/ disapositi go ditšweletšwa,Dithuso ditlhahisweng,Diketleetso mo dikunong,Tibonelelo emikhicitweni,Thikhedzo/mitikedzo kha zwibveledzwa/sabusidi,Mipfuno eka swimakiwa
Diverse debiteure,"                National, Provincial and Local Government                   ","Sundry debtors include: personal housing loans, other housing loans: mortgages, selling agreements, hire purchases and sponsored government housing loans to welfare.",Sundry debtors,Abakweleda okhunye,Amatyala angamanye,Ingxube yabakweleti/ abakweleti abanhlobinhlobo,Bakoloti ba bangwe,Bakadimi ba bang,Baadimi ba bangwe,Bakweledi labayinhlanganisela,Vhakolodi vhaṅwe,Vakoloti va swin’wana na swin’wana
Handelsdienste,"                National, Provincial and Local Government                   ",Municipal services for which the tariffs are determined in such a way that the provision of the service should yield a trading profit; market-related goods and services. See rates and general services.,Trading services,Imisebenzi yokurhweba,Iinkonzo zorhwebo,Imisebenzi/ izinsizakalo zokuhweba,Tirelo tša bogwebi,Ditshebeletso tsa kgwebo,Ditirelokgwebo,Tinsita tekuhweba,Tshumelo dza vhuvhambadzi/mbambadzo,Vukorhokeri bya bindzu
Trustfondse (plaaslike owerheid),"                National, Provincial and Local Government                   ",Funds which form part of the local authority’s money and which may have been donated or bequeathed to it for a specific use under its sole control. This amount is reflected in the consolidated balance sheet.,Trust funds (local authority),Isikhwama semali sokuphathelwa,Iimali zetrasti (amagunya engingqi),Isikhwama sethrasti (uMaziphathe Wendawo),Dikhwama tša ditšhaba/ditherasete,Matsete (bolaodi ba lehae),Matlole a terasete,Sikhwama sekuphatsela (tibuse),Zwikwamapfarelwa(maanḓalangaapo),Mali ya thirasiti (mfumo wa muganga/ndhawu)
Ontoewysbare uitgawes,"                National, Provincial and Local Government                   ",Expenditure that cannot be allocated to a specific function.,Unallocable expenditure,Iindleko ezingakabelwa,Inkcitho engabelwanga mali,Izindleko ezingaqondakali,Ditshenyagelo/ditshenyagalelo tša go se abege,Ditshenyehelo tse sa ajweng,Ditshenyegelo tse di sa abegeng,Inchitfo lengabeki / inchitfo longakhoni kuyaba,Tshinyalelotshayandivhiswa,Ntirhiso lowu nga avekiki
Pos,"                National, Provincial and Local Government                 ",An appropriation voted by national or provincial government. See statutory appropriation.,Vote,Ikoro eyabelweko,Ivoti yolwabiwo- mali,Isabelomali esivotelwe,Bouto,Vouto,Kabo,Ivoti,Mugaganyo,Vhoti
Waterdiensontwikkelingsplan,"                National, Provincial and Local Government                 ",The WSDP is a sectoral plan that falls within the inter-sectoral umbrella plan of the IDP.,Water Service Development Plan,UmTlamo WezokuThuthukiswa KezaManzi,Isicwangciso soPhuhliso lweNkonzo yaManzi,Uhlelo lokuthuthukisa ukunikezelwa kwamanzi,Thulaganyo ya tlhabollo ya ditirelo tša meetse,Moralo wa ntshetsopele ditshebeletsong tsa metsi,Leanotlhabololo la tirelo ya metsi,Luhlelo lwekutfutfukisa kusetjentiswa kwemanti,Nzudzanyo ya mveledziso ya tshumelo ya maḓi,Pulani ya nhluvukiso wa vukorhokeri bya mati
09-boek (Sensus),                        Population Census                                ,"The total process of collecting, processing, analyzing and publishing or otherwise disseminating demographic, economic and social data pertaining to all persons in a country or a well-defined part of a country at a specified time.",09 book (Census),Incwadi i-09 (isensasi; ibalopheleleko),Incwadi engunombolo 9 (Ubalo-bantu),Ibhuku i-09 (ngemininingwane yokubalwa kwabantu),Puku ya 09/pukukakaretšo ya mmalobatho,Buka ya 09 (palabatho),Buka ya 09,Libhuku i-09,Bugu ya 09 (Mbalavhathu / Sentsasi),Buku ya 09 (nhlayelo wa vanhu)
Afwesige lid van huishouding (onderhoud),                        Population Census                                ,A member of a household who was not present at the time of the interview. See absent household member (reference night).,Absent household member (interview),Ilunga lomuzi/lekhaya elingekho(ikulumiswano),Ilungu lekhaya elingekhoyo (kudliwano-ndlebe),Ilungu lekhaya ebelingekho kubalwa (i-inthaviyu),Mosebegae letšatšing la go bala batho,Setho sa lelapa se siyo (boiteanyo),Tokololo ya lelapa e e seng teng (ka nako ya potsolotso),Lilunga lemndeni lelingekho (nakubalwa),Muraḓo u siho wa muṱa / haya (mbudzisa / inthaviu),Xirho xa muti lexi nga riki kona (inthavhiyu)
Afwesige lid van huishouding (verwysingsaand),                        Population Census                                ,A person who is usually part of the household but was not present in the dwelling on census night. See absent household member (interview).,Absent household member (reference night),Ilunga lomuzi / lekhaya elingekho (ikulumiswano),Ilungu lekhaya elingekhoyo (ubusuku bokungqinisisa),Ilungu lekhaya ebelingekho (ngobusuku bokubalwa),Mosebegae bošegong bja palo ya batho,Setho sa lelapa se siyo (bosiung bo boletsweng),Tokololo ya lelapa e e seng teng (bosigo jo bo kailweng),Lilunga lemndeni lelingekho (lobobusuku),Muraḓo u siho wa muṱa /haya (vhusiku ha mbudzisa),Xirho xa muti lexi nga riki kona (vusiku lebyi kongomisiweke)
Sensusdatum,                        Population Census                                ,The date officially proclaimed by the government for the population census.,Census date,Ilanga elibekiweko lebalopheleleko,Umhla wobalo-bantu,Usuku olumisiwe lokubalwa kwabantu,Tšatšikgwedi ya mmalobatho/palobatho,Mohla wa palabatho,Letlha la palobatho,Lusuku lwelubalo,Datumu ya mbalavhathu / sentsasi,Siku ra nhlayelo wa vanhu
Sensusdag,                        Population Census                                ,"The day of the population census date. This is the reference day for persons who were away from home during census night for work, entertainment or travel, but returned home the following day without being counted elsewhere.",Census day,Ilanga lebalopheleleko,Usuku lobalo-bantu,Ilanga lokubalwa kwabantu,Letšatši la mmalobatho/palobatho,Letsatsi la palabatho,Letsatsi la palobatho,Lilanga lelubalo,ḓuvha ḽa mbalavhathu / sentsasi,Siku ra nhlayelo wa vanhu
Sensusvooraand,                        Population Census                                ,The night before the census day. The decisive point of time for being included in the census or not is set as midnight on that night.,Census night,Ubusuku bebalopheleleko,Ubusuku bobalo-bantu,Ubusuku bokubalwa kwabantu,Bošegong bja ammalobatho/palobatho,Bosiu ba palabatho,Bosigo jwa palobatho,Busuku belubalo,Vhusiku ha mbalavhathu / sentsasi,Vusiku bya nhlayelo wa vanhu
Sensusfases,                        Population Census                                ,"The three main phases of a census are: 1) the pre-enumeration phase for all planning of the census; 2) the enumeration phase for execution of fieldwork; and 3) the post- enumeration phase for data processing, analysis and dissemination of census results.",Census phases,Iingaba zebalopheleleko,Izigaba zobalo-bantu,Izigaba zokubalwa kwabantu,Magato a mmalobatho/palobatho,Mekgahlelo ya palabatho,Dikgato tsa palobatho,Tigaba telubalo,Nṱha / maga a mbalavhathu / sentsasi,Swiphemu swa nhlayelo wa vanhu
De facto-sensus,                        Population Census                                ,A census in which people are enumerated according to where they stay on census night.,De facto census,Ibalopheleleko labafunyenweko,Ubalo-bantu ngokwendawo okuyo,Ukubalwa kwabantu lapho bekhona,Mmalobatho wo o theilwago bošegong bja mmalobatho/palobatho,Palo ya setjhaba ho latela moo motho a leng teng,Palobatho go ya ka kwa ba leng teng,Lubalo ngekutfolakala,Mbalavhathu-/ sentsasitsendekavhudzulo ha vhusiku honoho,Nhlayelo wa vanhu ku ya hi laha va kumekaka kona
De jure-sensus,                       Population Census                               ,A census in which people are enumerated according to where they usually live.,De jure census,Ibalopheleleko lamambala,Ubalo-bantu ngokwendawo ohlala kuyo,Ukubalwa kwabantu lapho bevame ukuhlala khona,Palobatho/mmalobatho wo o theilwego bodulong bja tlwaelo,Palo ya setjhaba ho latela moo motho a phelang teng,Palobatho go ya ka bonno ba ka gale,Lubalo ngekuhlala,Mbalavhathu- / sentsasitsendekavhudzulo tshoṱhe,Nhlayelo wa vanhu ku ya hi laha vanhu va tshamaka kona
"Huiswerker, inwonend [inwonende huiswerker]",                       Population Census                               ,"A domestic worker who lives on the property of the employer, either in the same house or in separate domestic quarters. See domestic worker under labour.","Domestic worker, live-in","Isisebenzi sekhaya (ekuhlalwa naso, esilalako)","Umncedisi, ohlala emsebenzini",Isisebenzi sasendlini/ wasekhaya ohlala khona,Mošomedi wa lapa wa serobalela,Mosebetsi wa lelapa ya dulang,Modiredi wa mo gae yo o robalang,"Sisebenti sasekhaya, lesihlala khona","Mushumi /muthusi wa muṱani / hayani, mudzulangeo","Mutirhi wa le kaya, loyi a tshamaka entirhweni"
Bevolkingstelling,                       Population Census                               ,The process of counting all the members of a given population and collecting demographic and other information about each person. See direct interview and self-enumeration.,Enumeration,Ibalo; ukubala,Ubalo,Ukubalwa kwabantu,Palobatho/mmalobatho,Ho bala,Palobatho,Kubala,Mbalavhathu,Nhlayelo
Teltydperk,                       Population Census                               ,The proclaimed period within which enumeration should be conducted.,Enumeration period,Isikhathi sebalo/sokubala,Ixesha lobalo,Isikhathi sokubalwa kwabantu,Paka ya palobatho/mmalabatho,Nako ya ho bala,Paka ya palobatho,Sikhatsi sekubala,Tshifhinga tsha mbalavhathu,Nkarhi wa nhlayelo
Telfase,                        Population Census                                 ,"The stage of the population census process that involves counting the people. During this phase, enumerators visit every household and all collective living quarters to administer questionnaires. See census phases.",Enumeration phase,Isigaba sebalo/sokubala,Isigaba sobalo,Isigaba sokubalwa kwabantu,Legatho la palobatho/mmalobatho,Mokgahlelo wa ho bala,Kgato ya palobatho,Sigaba sekubala,Luṱa /ḽiga ḽa mbalavhathu,Xiphemu xa nhlayelo
Opnemer,                        Population Census                                 ,A person who visits households or individuals in a specific enumeration area for the purpose of administration of questionnaires or for self-enumeration.,Enumerator,Umbali,Umbali wabantu,Umbali wabantu,Mmalabatho,Mmadi,Mmalabatho,Umbali,Muvhalavhathu,Muhlayeri
Opnemer se opsommingsboek (Bevolkingsensus),                        Population Census                                 ,"A register of demarcation and listing information pertaining to a particular EA, known colloquially as the 09 book, which identifies an EA by province, local authority, main place name and subplace name, and by means of maps and/or aerial photographs. Used during enumeration to record key information such as visits or attempted visits, and total households and people counted.",Enumerator’s summary book (Population Census),Incwadi yeenrhunyezo yombali (IBalopheleleko LabaNtu),Incwadi yombali yokushwankathela (UBalo lwaBantu),Incwadi/ibhuku lemininingwane yokubalwa kwabantu,Pukukakaretšo ya mmalabatho,Buka ya kgutsufatso ya mmadi (Palasetjhaba),Bukatshobokanyo ya mmalabatho,Libhuku lelifishanisiwe lekubala (lubalo lwebantfu),Bugunweledzi ya muvhalavhathu (Mbalavhathu/ Sentsasi),Buku ya nkatsakanyo wa muhlayeri wa vanhu (nhlayelo wa vanhu)
